# Scenario Kshort
# 1,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,6
# Xs, Xs, Xs, Xs, Xs, Xs, Ys, Ys, Ys, Ys, Ys, Ys, Vs, Vs, Vs, Vs, Vs, Vs, betafit, betafit, betafit, betafit, betafit, betafit, 
# 
45.0 45.0 45.0 45.0 45.0 45.0 25.0 25.0 25.0 25.0 25.0 25.0 900.0 900.0 900.0 900.0 900.0 900.0 1.20e+01 1.25e+01 1.25e+01 1.22e+01 1.20e+01 1.25e+01
55.0 55.0 55.0 55.0 55.0 55.0 25.0 25.0 25.0 25.0 25.0 25.0 1100.0 1100.0 1100.0 1100.0 1100.0 1100.0 1.22e+01 1.24e+01 1.25e+01 1.23e+01 1.20e+01 1.27e+01
65.0 65.0 65.0 65.0 65.0 65.0 25.0 25.0 25.0 25.0 25.0 25.0 412.4 412.4 412.4 412.4 412.4 412.4 3.95e+00 3.98e+00 3.97e+00 3.93e+00 3.87e+00 4.00e+00
75.0 75.0 75.0 75.0 75.0 75.0 25.0 25.0 25.0 25.0 25.0 25.0 184.2 157.1 157.1 157.1 136.0 157.1 1.53e+00 1.31e+00 1.32e+00 1.31e+00 1.12e+00 1.31e+00
85.0 85.0 85.0 85.0 85.0 85.0 25.0 25.0 25.0 25.0 25.0 25.0 96.0 96.0 96.0 96.0 96.0 96.0 7.04e-01 7.01e-01 7.09e-01 7.10e-01 7.09e-01 7.07e-01
95.0 95.0 95.0 95.0 95.0 95.0 25.0 25.0 25.0 25.0 25.0 25.0 67.5 73.5 67.5 67.5 73.5 67.5 4.43e-01 4.75e-01 4.44e-01 4.45e-01 4.80e-01 4.47e-01
105.0 105.0 105.0 105.0 105.0 105.0 25.0 25.0 25.0 25.0 25.0 25.0 50.7 54.5 54.5 50.7 50.7 50.7 3.07e-01 3.17e-01 3.25e-01 3.01e-01 3.06e-01 3.07e-01
115.0 115.0 115.0 115.0 115.0 115.0 25.0 25.0 25.0 25.0 25.0 25.0 42.1 45.0 42.1 42.1 42.1 45.0 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
125.0 125.0 125.0 125.0 125.0 125.0 25.0 25.0 25.0 25.0 25.0 25.0 35.6 37.7 35.6 33.6 35.6 35.6 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
150.0 150.0 150.0 150.0 150.0 150.0 25.0 25.0 25.0 25.0 25.0 25.0 20.5 21.1 19.4 20.5 21.1 21.1 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
175.0 175.0 175.0 175.0 175.0 175.0 25.0 25.0 25.0 25.0 25.0 25.0 11.6 12.4 11.6 12.1 11.9 12.1 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
200.0 200.0 200.0 200.0 200.0 200.0 25.0 25.0 25.0 25.0 25.0 25.0 8.1 8.3 7.8 8.0 8.2 8.2 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
