# Scenario Kshort
# 1,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,6
# Xs, Xs, Xs, Xs, Xs, Xs, Ys, Ys, Ys, Ys, Ys, Ys, Vs, Vs, Vs, Vs, Vs, Vs, betafit, betafit, betafit, betafit, betafit, betafit, 
# 
175.0 175.0 175.0 175.0 175.0 175.0 15.0 15.0 15.0 15.0 15.0 15.0 5.0 23.9 27.7 24.6 25.3 29.6 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
200.0 200.0 200.0 200.0 200.0 200.0 15.0 15.0 15.0 15.0 15.0 15.0 18.3 15.2 15.7 14.4 16.2 18.0 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
225.0 225.0 225.0 225.0 225.0 225.0 15.0 15.0 15.0 15.0 15.0 15.0 13.0 10.0 10.1 11.2 11.0 12.2 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
250.0 250.0 250.0 250.0 250.0 250.0 15.0 15.0 15.0 15.0 15.0 15.0 9.3 7.8 9.4 8.8 8.5 9.1 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
275.0 275.0 275.0 275.0 275.0 275.0 15.0 15.0 15.0 15.0 15.0 15.0 7.4 6.4 7.7 7.7 2.4 7.2 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
300.0 300.0 300.0 300.0 300.0 300.0 15.0 15.0 15.0 15.0 15.0 15.0 6.3 1.8 6.5 6.7 5.9 6.2 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
5.0 5.0 5.0 5.0 5.0 5.0 25.0 25.0 25.0 25.0 25.0 25.0 100.0 7.0 100.0 100.0 100.0 100.0 3.37e+01 1.86e+00 1.00e+01 3.04e+01 1.98e+01 1.51e+01
10.0 10.0 10.0 10.0 10.0 10.0 25.0 25.0 25.0 25.0 25.0 25.0 200.0 200.0 200.0 200.0 200.0 200.0 1.51e+01 1.83e+01 1.52e+01 2.07e+01 1.97e+01 1.46e+01
15.0 15.0 15.0 15.0 15.0 15.0 25.0 25.0 25.0 25.0 25.0 25.0 300.0 300.0 300.0 300.0 300.0 300.0 1.52e+01 1.97e+01 1.72e+01 1.29e+01 1.68e+01 1.34e+01
20.0 20.0 20.0 20.0 20.0 20.0 25.0 25.0 25.0 25.0 25.0 25.0 400.0 400.0 400.0 400.0 400.0 36.3 1.50e+01 1.33e+01 1.96e+01 1.18e+01 1.29e+01 1.34e+00
25.0 25.0 25.0 25.0 25.0 25.0 25.0 25.0 25.0 25.0 25.0 25.0 500.0 500.0 500.0 500.0 500.0 500.0 1.51e+01 1.48e+01 1.55e+01 1.19e+01 1.16e+01 1.27e+01
35.0 35.0 35.0 35.0 35.0 35.0 25.0 25.0 25.0 25.0 25.0 25.0 700.0 700.0 700.0 700.0 700.0 700.0 1.29e+01 1.22e+01 1.81e+01 1.05e+01 1.21e+01 8.41e+00
