# Scenario Kshort
# 1,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,6
# Xs, Xs, Xs, Xs, Xs, Xs, Ys, Ys, Ys, Ys, Ys, Ys, Vs, Vs, Vs, Vs, Vs, Vs, betafit, betafit, betafit, betafit, betafit, betafit, 
# 
115.0 115.0 115.0 115.0 115.0 115.0 25.0 25.0 25.0 25.0 25.0 25.0 129.8 75.3 97.2 45.0 161.9 7.5 4.98e-01 6.04e-01 4.71e-01 3.71e-01 7.41e-01 1.00e+00
125.0 125.0 125.0 125.0 125.0 125.0 25.0 25.0 25.0 25.0 25.0 25.0 105.7 60.3 70.0 42.8 127.6 157.1 3.61e-01 4.37e-01 3.64e-01 2.81e-01 3.48e-01 8.63e-01
150.0 150.0 150.0 150.0 150.0 150.0 25.0 25.0 25.0 25.0 25.0 25.0 67.4 31.8 48.1 38.3 77.9 90.7 2.11e-01 1.00e+00 1.00e+00 1.00e+00 2.11e-01 4.00e-01
175.0 175.0 175.0 175.0 175.0 175.0 25.0 25.0 25.0 25.0 25.0 25.0 42.5 4.8 34.2 22.1 64.0 78.6 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 2.66e-01
200.0 200.0 200.0 200.0 200.0 200.0 25.0 25.0 25.0 25.0 25.0 25.0 17.1 32.7 24.0 12.1 7.0 60.3 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
225.0 225.0 225.0 225.0 225.0 225.0 25.0 25.0 25.0 25.0 25.0 25.0 23.2 19.2 19.2 7.5 34.5 42.3 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
250.0 250.0 250.0 250.0 250.0 250.0 25.0 25.0 25.0 25.0 25.0 25.0 16.8 14.4 13.8 5.9 33.3 22.1 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
275.0 275.0 275.0 275.0 275.0 275.0 25.0 25.0 25.0 25.0 25.0 25.0 13.1 12.1 9.7 8.7 22.7 15.9 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
300.0 300.0 300.0 300.0 300.0 300.0 25.0 25.0 25.0 25.0 25.0 25.0 8.3 10.0 7.7 7.3 3.5 16.7 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
5.0 5.0 5.0 5.0 5.0 5.0 35.0 35.0 35.0 35.0 35.0 35.0 100.0 100.0 100.0 100.0 100.0 100.0 3.25e+00 1.78e+01 1.69e+01 1.85e+01 8.69e+00 2.78e+01
10.0 10.0 10.0 10.0 10.0 10.0 35.0 35.0 35.0 35.0 35.0 35.0 200.0 200.0 200.0 200.0 200.0 200.0 3.22e+00 3.41e+01 1.80e+01 1.99e+01 6.02e+00 2.65e+01
15.0 15.0 15.0 15.0 15.0 15.0 35.0 35.0 35.0 35.0 35.0 35.0 300.0 300.0 300.0 300.0 300.0 300.0 4.25e+00 5.54e+01 1.97e+01 1.96e+01 5.01e+00 2.62e+01
20.0 20.0 20.0 20.0 20.0 20.0 35.0 35.0 35.0 35.0 35.0 35.0 400.0 400.0 400.0 400.0 400.0 400.0 6.60e+00 4.24e+01 2.57e+01 1.98e+01 5.29e+00 2.64e+01
25.0 25.0 25.0 25.0 25.0 25.0 35.0 35.0 35.0 35.0 35.0 35.0 500.0 500.0 500.0 500.0 500.0 500.0 7.43e+00 5.54e+01 1.91e+01 2.06e+01 6.13e+00 2.99e+01
35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 700.0 700.0 700.0 700.0 700.0 700.0 6.28e+00 3.05e+01 1.69e+01 2.95e+01 5.83e+00 2.59e+01
45.0 45.0 45.0 45.0 45.0 45.0 35.0 35.0 35.0 35.0 35.0 35.0 900.0 900.0 900.0 900.0 900.0 900.0 6.89e+00 1.50e+01 1.70e+01 1.67e+01 5.83e+00 2.03e+01
55.0 55.0 55.0 55.0 55.0 55.0 35.0 35.0 35.0 35.0 35.0 35.0 1100.0 1100.0 1100.0 1100.0 1100.0 1100.0 7.13e+00 2.09e+01 1.34e+01 2.08e+01 7.46e+00 1.90e+01
65.0 65.0 65.0 65.0 65.0 65.0 35.0 35.0 35.0 35.0 35.0 35.0 1300.0 301.6 1300.0 1300.0 1300.0 46.2 7.50e+00 4.08e+00 1.72e+01 2.06e+01 5.72e+00 6.51e-01
75.0 75.0 75.0 75.0 75.0 75.0 35.0 35.0 35.0 35.0 35.0 35.0 731.7 94.2 731.7 348.0 1500.0 157.1 4.06e+00 1.42e+00 5.06e+00 4.08e+00 6.83e+00 1.77e+00
85.0 85.0 85.0 85.0 85.0 85.0 35.0 35.0 35.0 35.0 35.0 35.0 249.9 178.0 249.9 135.2 829.3 829.3 1.54e+00 1.64e+00 1.55e+00 1.36e+00 5.30e+00 7.65e+00
95.0 95.0 95.0 95.0 95.0 95.0 35.0 35.0 35.0 35.0 35.0 35.0 199.0 5.2 133.7 88.1 602.7 3.0 1.19e+00 1.00e+00 9.65e-01 6.50e-01 2.23e+00 1.00e+00
105.0 105.0 105.0 105.0 105.0 105.0 35.0 35.0 35.0 35.0 35.0 35.0 131.9 131.9 88.8 9.4 308.7 63.5 6.75e-01 1.07e+00 8.04e-01 1.00e+00 1.03e+00 4.63e-01
115.0 115.0 115.0 115.0 115.0 115.0 35.0 35.0 35.0 35.0 35.0 35.0 89.0 1.9 69.6 55.5 208.6 282.5 4.34e-01 1.00e+00 5.55e-01 3.82e-01 5.65e-01 1.60e+00
125.0 125.0 125.0 125.0 125.0 125.0 35.0 35.0 35.0 35.0 35.0 35.0 70.0 64.9 70.0 52.4 157.1 226.7 4.30e-01 8.03e-01 4.45e-01 2.96e-01 4.00e-01 5.59e-01
150.0 150.0 150.0 150.0 150.0 150.0 35.0 35.0 35.0 35.0 35.0 35.0 72.4 0.8 45.2 38.3 90.7 116.1 2.11e-01 1.00e+00 1.00e+00 1.00e+00 2.30e-01 3.76e-01
175.0 175.0 175.0 175.0 175.0 175.0 35.0 35.0 35.0 35.0 35.0 35.0 26.9 30.6 40.5 23.3 59.9 68.5 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
200.0 200.0 200.0 200.0 200.0 200.0 35.0 35.0 35.0 35.0 35.0 35.0 27.3 31.7 28.9 11.3 36.3 56.9 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
225.0 225.0 225.0 225.0 225.0 225.0 35.0 35.0 35.0 35.0 35.0 35.0 31.6 2.6 18.3 7.7 24.2 39.4 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
250.0 250.0 250.0 250.0 250.0 250.0 35.0 35.0 35.0 35.0 35.0 35.0 17.5 14.3 12.8 3.3 2.1 22.5 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
275.0 275.0 275.0 275.0 275.0 275.0 35.0 35.0 35.0 35.0 35.0 35.0 13.0 11.6 9.9 8.9 18.2 14.2 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
300.0 300.0 300.0 300.0 300.0 300.0 35.0 35.0 35.0 35.0 35.0 35.0 12.2 9.7 7.4 6.7 14.5 13.8 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
5.0 5.0 5.0 5.0 5.0 5.0 45.0 45.0 45.0 45.0 45.0 45.0 100.0 100.0 100.0 100.0 100.0 100.0 2.88e+01 6.20e+00 1.40e+01 2.45e+01 2.79e+01 5.30e+01
10.0 10.0 10.0 10.0 10.0 10.0 45.0 45.0 45.0 45.0 45.0 45.0 200.0 200.0 200.0 200.0 200.0 200.0 1.55e+01 6.23e+00 8.26e+00 2.51e+01 2.00e+01 2.19e+01
15.0 15.0 15.0 15.0 15.0 15.0 45.0 45.0 45.0 45.0 45.0 45.0 300.0 300.0 300.0 300.0 300.0 300.0 1.31e+01 7.73e+00 8.38e+00 3.30e+01 7.47e+00 9.82e+00
20.0 20.0 20.0 20.0 20.0 20.0 45.0 45.0 45.0 45.0 45.0 45.0 400.0 400.0 400.0 400.0 400.0 400.0 8.33e+00 1.42e+01 8.81e+00 4.16e+01 1.51e+01 1.28e+01
25.0 25.0 25.0 25.0 25.0 25.0 45.0 45.0 45.0 45.0 45.0 45.0 500.0 500.0 500.0 500.0 500.0 500.0 8.19e+00 2.38e+01 1.23e+01 3.30e+01 1.87e+01 1.87e+01
35.0 35.0 35.0 35.0 35.0 35.0 45.0 45.0 45.0 45.0 45.0 45.0 700.0 126.7 700.0 1.0 700.0 700.0 1.14e+01 6.04e+00 8.99e+00 1.00e+00 1.84e+01 1.42e+01
45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 17.6 285.5 900.0 900.0 2.4 900.0 2.49e-01 1.22e+01 1.56e+01 1.57e+01 1.00e+00 1.04e+01
55.0 55.0 55.0 55.0 55.0 55.0 45.0 45.0 45.0 45.0 45.0 45.0 1100.0 1100.0 1100.0 1100.0 1100.0 1100.0 8.73e+00 2.82e+01 1.87e+01 1.10e+01 1.89e+01 7.91e+00
65.0 65.0 65.0 65.0 65.0 65.0 45.0 45.0 45.0 45.0 45.0 45.0 1300.0 1300.0 634.1 1300.0 235.3 1300.0 9.88e+00 3.35e+01 1.13e+01 1.40e+01 3.05e+00 7.29e+00
75.0 75.0 75.0 75.0 75.0 75.0 45.0 45.0 45.0 45.0 45.0 45.0 1500.0 2.0 2.2 348.0 1500.0 1500.0 9.15e+00 1.00e+00 1.00e+00 3.10e+00 5.61e+00 5.88e+00
85.0 85.0 85.0 85.0 85.0 85.0 45.0 45.0 45.0 45.0 45.0 45.0 539.3 829.3 71.9 135.2 1700.0 1700.0 3.15e+00 2.11e+01 1.08e+00 1.07e+00 5.79e+00 6.21e+00
95.0 95.0 95.0 95.0 95.0 95.0 45.0 45.0 45.0 45.0 45.0 45.0 233.4 279.3 133.7 88.1 926.8 602.7 1.25e+00 4.50e+00 1.49e+00 6.97e-01 2.80e+00 1.83e+00
105.0 105.0 105.0 105.0 105.0 105.0 45.0 45.0 45.0 45.0 45.0 45.0 131.9 147.8 97.3 68.8 487.2 487.2 6.62e-01 2.24e+00 6.84e-01 4.88e-01 2.29e+00 1.28e+00
115.0 115.0 115.0 115.0 115.0 115.0 45.0 45.0 45.0 45.0 45.0 45.0 89.0 117.4 75.3 45.0 282.5 338.1 4.39e-01 1.39e+00 4.62e-01 3.58e-01 1.17e+00 7.95e-01
125.0 125.0 125.0 125.0 125.0 125.0 45.0 45.0 45.0 45.0 45.0 45.0 64.9 81.9 64.9 37.7 198.8 176.0 3.33e-01 9.34e-01 3.52e-01 2.92e-01 6.98e-01 5.41e-01
150.0 150.0 150.0 150.0 150.0 150.0 45.0 45.0 45.0 45.0 45.0 45.0 67.4 54.9 45.2 4.9 84.0 116.1 2.40e-01 2.18e-01 1.00e+00 1.00e+00 3.87e-01 2.28e-01
175.0 175.0 175.0 175.0 175.0 175.0 45.0 45.0 45.0 45.0 45.0 45.0 56.2 5.1 35.6 19.2 49.8 84.5 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 2.47e-01
200.0 200.0 200.0 200.0 200.0 200.0 45.0 45.0 45.0 45.0 45.0 45.0 37.6 32.7 21.5 12.7 44.3 60.3 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
225.0 225.0 225.0 225.0 225.0 225.0 45.0 45.0 45.0 45.0 45.0 45.0 32.5 24.2 15.1 9.9 16.4 28.4 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
250.0 250.0 250.0 250.0 250.0 250.0 45.0 45.0 45.0 45.0 45.0 45.0 24.2 14.8 12.0 1.3 5.0 23.8 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
275.0 275.0 275.0 275.0 275.0 275.0 45.0 45.0 45.0 45.0 45.0 45.0 15.9 11.5 10.1 10.1 16.9 18.9 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
300.0 300.0 300.0 300.0 300.0 300.0 45.0 45.0 45.0 45.0 45.0 45.0 13.3 8.3 8.4 7.8 11.2 15.4 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
5.0 5.0 5.0 5.0 5.0 5.0 55.0 55.0 55.0 55.0 55.0 55.0 100.0 100.0 100.0 100.0 100.0 100.0 7.67e+00 1.28e+01 7.59e+00 1.97e+01 1.42e+01 3.26e+00
10.0 10.0 10.0 10.0 10.0 10.0 55.0 55.0 55.0 55.0 55.0 55.0 200.0 200.0 200.0 200.0 1.6 200.0 1.17e+01 9.43e+00 8.18e+00 2.05e+01 1.84e-01 2.51e+00
15.0 15.0 15.0 15.0 15.0 15.0 55.0 55.0 55.0 55.0 55.0 55.0 300.0 300.0 300.0 300.0 300.0 300.0 1.52e+01 4.84e+00 8.90e+00 1.94e+01 1.15e+01 3.28e+00
20.0 20.0 20.0 20.0 20.0 20.0 55.0 55.0 55.0 55.0 55.0 55.0 400.0 400.0 400.0 400.0 400.0 400.0 1.77e+01 4.46e+00 1.53e+01 1.72e+01 1.22e+01 3.78e+00
25.0 25.0 25.0 25.0 25.0 25.0 55.0 55.0 55.0 55.0 55.0 55.0 500.0 500.0 500.0 500.0 500.0 500.0 1.61e+01 4.20e+00 1.80e+01 1.45e+01 1.13e+01 3.68e+00
35.0 35.0 35.0 35.0 35.0 35.0 55.0 55.0 55.0 55.0 55.0 55.0 700.0 700.0 700.0 700.0 700.0 700.0 1.26e+01 4.22e+00 1.83e+01 8.91e+00 1.00e+01 3.52e+00
45.0 45.0 45.0 45.0 45.0 45.0 55.0 55.0 55.0 55.0 55.0 55.0 900.0 900.0 900.0 900.0 900.0 900.0 1.59e+01 4.22e+00 1.05e+01 1.13e+01 9.78e+00 5.47e+00
